id,folder,status,ready,image_count,has_index_html,webpage_url,blocker_count,blockers
0001,0001 - Saielle of the Willow Tree,DONE,1,6,1,1,0,
0002,0002 - Venom,WIP,1,2,0,0,0,
0003,0003 - Donald Duck,DONE,1,5,1,1,0,
0004,0004 - Gemmy Rocky Balboa,DONE,1,8,1,1,0,
0005,0005 - Vintage giant Smurf plush,DONE,1,7,1,1,0,
0006,0006 - Tomy Plarail Edward,DONE,1,5,1,1,0,
0007,0007 - Patchwork teddy bear with heart,DONE,1,7,1,1,0,
0008,0008 - Large floppy brown cream dog,DONE,1,1,1,1,0,
0009,0009 - Hey Duggee interactive plush,DONE,1,9,1,1,0,
0010,0010 - Guitar Hero World Tour guitar,DONE,1,1,1,1,0,
0011,0011 - Ahsoka Tano Legacy lightsabers,DONE,1,1,1,1,0,
0012,0012 - Jakks First Order Stormtrooper Battle Buddy,DONE,1,1,1,1,0,
0013,0013 - Press heart talking bear,DONE,1,2,1,1,0,
0014,0014 - Tomy Big Loader blue power unit,DONE,1,5,1,1,0,
0015,0015 - Anpanman Kotoba Zukan DX,DONE,1,1,1,1,0,
0016,0016 - Grey bashful bunny plush,DONE,1,6,1,1,0,
0018,0018 - Power Rangers Dino Megazord RC,DONE,1,5,1,1,0,
0019,0019 - Bear in giraffe onesie plush,DONE,1,2,1,1,0,
0020,0020 - Christmas bear music box figurine,DONE,1,3,1,1,0,
0021,0021 - Purple tie dye monkey plush,DONE,1,1,1,1,0,
0022,0022 - Pokemon Pikachu 2 GS pair,DONE,1,6,1,1,0,
0025,0025 - Hamish yellow teddy bear,DONE,1,9,1,1,0,
0027,0027 - Mattel RC baby dolls,DONE,1,23,1,1,0,
0030,0030 - KFC Chicky footballer figurines,DONE,1,4,1,1,0,
0031,0031 - Mickey and Goofy plush pair,DONE,1,1,1,1,0,
0032,0032 - Kitchen witch on broomstick,DONE,1,4,1,1,0,
0034,0034 - Miniso radish plush,DONE,1,2,1,1,0,
0035,0035 - Jurassic Park electronic T Rex,DONE,1,16,1,1,0,
0036,0036 - Brown sherpa teddy blue ribbon,DONE,1,9,1,1,0,
0037,0037 - Jellycat Blossom bunny,DONE,1,12,1,1,0,
0038,0038 - Hallmark reading buddy teddy,DONE,1,10,1,1,0,
0039,0039 - CoComelon Cece plush,DONE,1,7,1,1,0,
0040,0040 - Christmas toy train set,DONE,1,4,1,1,0,
0041,0041 - Tonka Chuck and Friends trucks,DONE,1,8,1,1,0,
0042,0042 - Soft cloth baby doll,DONE,1,11,1,1,0,
